Pos,Race No,Fav,Share,Print,Name,Time,Category,Cat Pos,Gender,Gen Pos,Pace,TOD,Start,O/Pos,C/Pos,G/Pos,Aid Station 12.99,O/Pos,C/Pos,G/Pos,Aid Station 20.32,O/Pos,C/Pos,G/Pos,Finish 31.32,O/Pos,C/Pos,G/Pos,Start,O/Pos,C/Pos,G/Pos,Aid Station 12.99,O/Pos,C/Pos,G/Pos,Aid Station 20.32,O/Pos,C/Pos,G/Pos,Finish 31.32,O/Pos,C/Pos,G/Pos
1,331,,,,Max King,03:33:11,TopFin,1,Male,1,6:55 min/m,11:35:11,00:00:01,1,1,1,01:30:13,3,2,3,01:07:32,3,1,3,00:55:24,2,2,2,00:00:01,1,1,1,01:30:13,3,2,3,01:07:32,3,1,3,00:55:24,2,2,2
2,301,,,,Hayden Hawks,03:33:42,TopFin,2,Male,2,6:56 min/m,11:35:42,00:00:03,9,3,9,01:30:10,2,1,2,01:09:15,5,3,5,00:54:16,1,1,1,00:00:03,9,3,9,01:30:10,2,1,2,01:09:15,5,3,5,00:54:16,1,1,1
3,388,,,,Sage Canaday,03:40:28,TopFin,3,Male,3,7:09 min/m,11:42:28,00:00:02,7,2,7,01:30:29,4,3,4,01:08:06,4,2,4,01:01:51,4,3,4,00:00:02,7,2,7,01:30:29,4,3,4,01:08:06,4,2,4,01:01:51,4,3,4
4,303,,,,Travis Morrison,03:45:30,2029,1,Male,4,7:19 min/m,11:47:30,00:00:02,5,2,5,01:30:03,1,1,1,01:11:29,6,2,6,01:03:57,6,2,6,00:00:02,5,2,5,01:30:03,1,1,1,01:11:29,6,2,6,01:03:57,6,2,6
5,8,,,,Tyler Sigl,03:49:55,3039,1,Male,5,7:27 min/m,11:51:55,00:00:02,2,1,2,01:31:42,5,1,5,01:14:11,8,1,8,01:04:01,8,3,8,00:00:02,2,1,2,01:31:42,5,1,5,01:14:11,8,1,8,01:04:01,8,3,8
6,317,,,,David Laney,03:50:25,2029,2,Male,6,7:28 min/m,11:52:25,00:00:02,3,1,3,01:33:58,6,2,6,01:13:31,7,3,7,01:02:55,5,1,5,00:00:02,3,1,3,01:33:58,6,2,6,01:13:31,7,3,7,01:02:55,5,1,5
7,427,,,,Anthony Tomsich,03:54:46,3039,2,Male,7,7:37 min/m,11:56:46,00:00:06,51,20,42,01:40:14,8,2,8,01:14:17,9,2,9,01:00:14,3,1,3,00:00:06,51,20,42,01:40:14,8,2,8,01:14:17,9,2,9,01:00:14,3,1,3
8,152,,,,Karl Augsten,03:58:34,2029,3,Male,8,7:44 min/m,12:00:34,00:00:03,16,7,16,01:39:14,7,3,7,01:15:01,10,4,10,01:04:18,9,3,9,00:00:03,16,7,16,01:39:14,7,3,7,01:15:01,10,4,10,01:04:18,9,3,9
9,160,,,,Keith Laverty,04:03:13,3039,3,Male,9,7:53 min/m,12:05:13,00:00:03,21,7,21,01:40:30,9,3,9,01:18:41,11,3,11,01:04:01,7,2,7,00:00:03,21,7,21,01:40:30,9,3,9,01:18:41,11,3,11,01:04:01,7,2,7
10,45,,,,Brian Rakestraw,04:06:28,2029,4,Male,10,8:00 min/m,12:08:28,00:00:03,8,4,8,01:40:35,10,4,10,01:19:23,13,6,13,01:06:30,12,5,12,00:00:03,8,4,8,01:40:35,10,4,10,01:19:23,13,6,13,01:06:30,12,5,12
11,320,,,,Dustin Franta,04:08:22,2029,5,Male,11,8:03 min/m,12:10:22,00:00:09,96,19,81,01:42:19,12,5,12,01:21:18,16,7,16,01:04:43,10,4,10,00:00:09,96,19,81,01:42:19,12,5,12,01:21:18,16,7,16,01:04:43,10,4,10
12,438,,,,Cody Callon,04:09:08,3039,4,Male,12,8:05 min/m,12:11:08,00:00:03,19,5,19,01:42:53,14,5,14,01:19:32,14,4,14,01:06:43,13,5,13,00:00:03,19,5,19,01:42:53,14,5,14,01:19:32,14,4,14,01:06:43,13,5,13
13,460,,,,Jesse Booi,04:11:38,3039,5,Male,13,8:10 min/m,12:13:38,00:00:05,35,12,29,01:42:52,15,6,15,01:20:45,15,5,15,01:08:00,17,7,16,00:00:05,35,12,29,01:42:52,15,6,15,01:20:45,15,5,15,01:08:00,17,7,16
14,296,,,,Will Jones,04:12:00,2029,6,Male,14,8:10 min/m,12:14:00,00:00:05,40,12,34,01:44:37,20,8,20,01:19:00,12,5,12,01:08:23,20,8,19,00:00:05,40,12,34,01:44:37,20,8,20,01:19:00,12,5,12,01:08:23,20,8,19
15,207,,,,Michael Havrda,04:12:07,3039,6,Male,15,8:11 min/m,12:14:07,00:00:05,38,14,32,01:42:58,16,7,16,01:22:06,18,7,18,01:07:02,15,6,14,00:00:05,38,14,32,01:42:58,16,7,16,01:22:06,18,7,18,01:07:02,15,6,14
16,390,,,,Timmy Parr,04:12:14,3039,7,Male,16,8:11 min/m,12:14:14,00:00:03,12,3,12,01:43:06,17,8,17,01:22:53,21,9,21,01:06:15,11,4,11,00:00:03,12,3,12,01:43:06,17,8,17,01:22:53,21,9,21,01:06:15,11,4,11
